"crime","date","neighborhood"
"BURGLARY-RESIDENCE","06/11/2013","Atlantic Station"
"LARCENY-FROM VEHICLE","04/08/2010","Downtown"
"LARCENY-FROM VEHICLE","06/03/2009","Center Hill"
"ROBBERY-PEDESTRIAN","03/13/2014","Southwest"
"ROBBERY-RESIDENCE","05/16/2015","Southwest"
"LARCENY-NON VEHICLE","03/15/2013","Wilson Mill Meadows"
"AGG ASSAULT","10/27/2013","North Buckhead"
"LARCENY-FROM VEHICLE","08/08/2015","Underwood Hills"
"AGG ASSAULT","12/14/2013","Glenrose Heights"
"LARCENY-FROM VEHICLE","06/10/2015","Grant Park"
"BURGLARY-RESIDENCE","10/14/2013","Kings Forest"
"LARCENY-FROM VEHICLE","03/18/2016","Morningside/Lenox Park"
"LARCENY-NON VEHICLE","04/26/2010","Downtown"
"AUTO THEFT","07/30/2011",""
"LARCENY-NON VEHICLE","02/27/2011","Downtown"
"RAPE","06/28/2014","West Paces Ferry/Northside"
"LARCENY-FROM VEHICLE","11/26/2015","Downtown"
"BURGLARY-RESIDENCE","06/30/2011","Greenbriar"
"ROBBERY-PEDESTRIAN","07/21/2010","Ormewood Park"
"LARCENY-NON VEHICLE","02/24/2014","Campbellton Road"
"AUTO THEFT","08/02/2011","Grant Park"
"LARCENY-FROM VEHICLE","08/24/2011","Berkeley Park"
"AUTO THEFT","03/02/2010","Peachtree Hills"
"LARCENY-FROM VEHICLE","12/09/2009",""
"LARCENY-NON VEHICLE","11/24/2013","South River Gardens"
"AUTO THEFT","09/29/2014","Castleberry Hill"
"BURGLARY-RESIDENCE","04/07/2010","Browns Mill Park"
"ROBBERY-PEDESTRIAN","07/07/2009","Harland Terrace"
"LARCENY-FROM VEHICLE","07/19/2010","Midtown"
"LARCENY-NON VEHICLE","06/24/2010","Oakland City"
"BURGLARY-RESIDENCE","12/11/2013","English Avenue"
"LARCENY-NON VEHICLE","02/22/2014","Lenox"
"BURGLARY-RESIDENCE","04/22/2010","West Highlands"
"BURGLARY-RESIDENCE","09/04/2011","Washington Park"
"LARCENY-FROM VEHICLE","08/29/2011","Venetian Hills"
"LARCENY-NON VEHICLE","05/09/2011","Lakewood"
"ROBBERY-PEDESTRIAN","01/18/2009","Downtown"
"BURGLARY-RESIDENCE","12/05/2010","Dixie Hills"
"LARCENY-FROM VEHICLE","06/02/2010","South Tuxedo Park"
"BURGLARY-RESIDENCE","09/22/2012","The Villages at Carver"
"BURGLARY-RESIDENCE","08/19/2009","Fairburn"
"LARCENY-FROM VEHICLE","10/02/2010","Old Fourth Ward"
"LARCENY-NON VEHICLE","11/10/2012","West End"
"AUTO THEFT","06/01/2011","Grove Park"
"AUTO THEFT","09/07/2010","Downtown"
"AUTO THEFT","05/31/2011","Poncey-Highland"
"LARCENY-FROM VEHICLE","06/23/2011","Hunter Hills"
"BURGLARY-RESIDENCE","03/17/2016","Adamsville"
"LARCENY-NON VEHICLE","10/24/2010","Berkeley Park"
"ROBBERY-PEDESTRIAN","06/28/2014","Browns Mill Park"
"ROBBERY-RESIDENCE","06/06/2014","Chosewood Park"
"BURGLARY-RESIDENCE","06/11/2010","Perkerson"
"LARCENY-FROM VEHICLE","02/08/2014",""
"ROBBERY-PEDESTRIAN","04/12/2010","Oakland City"
"AUTO THEFT","04/15/2011","Lincoln Homes"
"LARCENY-NON VEHICLE","12/04/2011","Downtown"
"AUTO THEFT","11/14/2009","Midtown"
"BURGLARY-RESIDENCE","09/04/2013","Margaret Mitchell"
"LARCENY-FROM VEHICLE","08/03/2016","Downtown"
"AUTO THEFT","09/04/2013","Carey Park"
"LARCENY-NON VEHICLE","10/19/2009","Polar Rock"
"ROBBERY-PEDESTRIAN","02/23/2013","Georgia Tech"
"LARCENY-NON VEHICLE","09/15/2011","Center Hill"
"LARCENY-NON VEHICLE","11/23/2013","Adamsville"
"AGG ASSAULT","06/04/2014","Mechanicsville"
"LARCENY-NON VEHICLE","04/19/2016","Berkeley Park"
"AUTO THEFT","12/01/2015","Southwest"
"LARCENY-FROM VEHICLE","09/01/2012","Collier Heights"
"BURGLARY-RESIDENCE","12/13/2011","West Lake"
"AUTO THEFT","05/27/2012","Edgewood"
"AUTO THEFT","11/30/2010",""
"ROBBERY-RESIDENCE","11/08/2014","Southwest"
"AGG ASSAULT","05/16/2011","Piedmont Heights"
"LARCENY-FROM VEHICLE","05/19/2012","Midtown"
"BURGLARY-RESIDENCE","02/16/2011","Summerhill"
"LARCENY-NON VEHICLE","12/23/2014",""
"LARCENY-FROM VEHICLE","10/29/2010","Summerhill"
"AUTO THEFT","10/11/2009","Fort Valley"
"BURGLARY-RESIDENCE","07/27/2009","Kirkwood"
"LARCENY-FROM VEHICLE","05/20/2014","Mechanicsville"
"LARCENY-NON VEHICLE","09/01/2013","Edgewood"
"RAPE","08/16/2016","Midtown"
"LARCENY-FROM VEHICLE","03/29/2010","Old Fourth Ward"
"BURGLARY-RESIDENCE","04/20/2011","Loring Heights"
"LARCENY-FROM VEHICLE","11/04/2014","Virginia Highland"
"LARCENY-NON VEHICLE","04/14/2011","Buckhead Village"
"LARCENY-NON VEHICLE","11/04/2010","Scotts Crossing"
"LARCENY-NON VEHICLE","06/01/2016","Wilson Mill Meadows"
"BURGLARY-NONRES","09/10/2012","Adamsville"
"LARCENY-NON VEHICLE","06/22/2012","Bankhead"
"AGG ASSAULT","03/02/2010","Thomasville Heights"
"BURGLARY-RESIDENCE","12/26/2014","Adamsville"
"BURGLARY-NONRES","02/05/2013","Loring Heights"
"LARCENY-NON VEHICLE","10/20/2009","Berkeley Park"
"LARCENY-NON VEHICLE","04/21/2010","Downtown"
"BURGLARY-NONRES","09/07/2009","Marietta Street Artery"
"BURGLARY-RESIDENCE","08/17/2010",""
"BURGLARY-NONRES","10/23/2010","Lakewood"
"LARCENY-NON VEHICLE","02/21/2011","Morningside/Lenox Park"
"LARCENY-FROM VEHICLE","10/17/2009","Lenox"
"AUTO THEFT","01/17/2011","Downtown"
"BURGLARY-RESIDENCE","03/18/2010","Westview"
"LARCENY-FROM VEHICLE","01/23/2010","Berkeley Park"
"LARCENY-NON VEHICLE","05/23/2013","Grove Park"
"LARCENY-FROM VEHICLE","06/22/2013","Downtown"
"LARCENY-FROM VEHICLE","07/30/2009","Mt. Paran/Northside"
"LARCENY-FROM VEHICLE","07/22/2009","Fairburn Mays"
"AGG ASSAULT","12/28/2015","Custer/McDonough/Guice"
"LARCENY-FROM VEHICLE","10/31/2012","Garden Hills"
"LARCENY-NON VEHICLE","02/28/2011","Atlantic Station"
"LARCENY-FROM VEHICLE","08/30/2015","Morningside/Lenox Park"
"LARCENY-NON VEHICLE","04/01/2015","West End"
"LARCENY-FROM VEHICLE","11/11/2016","Home Park"
"LARCENY-NON VEHICLE","09/24/2013","Grove Park"
"LARCENY-NON VEHICLE","03/29/2012","Almond Park"
"LARCENY-FROM VEHICLE","08/08/2016","Ardmore"
"LARCENY-NON VEHICLE","04/07/2015","North Buckhead"
"AUTO THEFT","06/02/2014","Capitol View"
"LARCENY-FROM VEHICLE","07/15/2015","Poncey-Highland"
"AGG ASSAULT","04/06/2012","Downtown"
"LARCENY-FROM VEHICLE","10/02/2013","Oakland"
"BURGLARY-NONRES","12/26/2012","Inman Park"
"BURGLARY-RESIDENCE","07/19/2015","Oakland City"
"LARCENY-NON VEHICLE","08/06/2012","Mozley Park"
"AUTO THEFT","02/18/2015","West End"
"AGG ASSAULT","11/09/2012","Sandlewood Estates"
"LARCENY-FROM VEHICLE","05/16/2012","Buckhead Forest"
"AUTO THEFT","12/14/2015","East Chastain Park"
"AGG ASSAULT","12/12/2012","Sylvan Hills"
"LARCENY-NON VEHICLE","08/15/2014","Vine City"
"LARCENY-NON VEHICLE","10/09/2011","Greenbriar"
"LARCENY-FROM VEHICLE","05/24/2015","Home Park"
"LARCENY-FROM VEHICLE","09/28/2012","Peoplestown"
"LARCENY-FROM VEHICLE","02/25/2013","Peachtree Hills"
"LARCENY-NON VEHICLE","07/16/2010","North Buckhead"
"AUTO THEFT","05/17/2013","North Buckhead"
"LARCENY-NON VEHICLE","05/26/2011","Morningside/Lenox Park"
"BURGLARY-RESIDENCE","06/20/2014","Joyland"
"ROBBERY-PEDESTRIAN","11/27/2011","Venetian Hills"
"LARCENY-NON VEHICLE","12/16/2010","Lenox"
"BURGLARY-RESIDENCE","05/07/2014","West Manor"
"LARCENY-NON VEHICLE","10/15/2012","Vine City"
"LARCENY-FROM VEHICLE","01/23/2010","Pittsburgh"
"LARCENY-FROM VEHICLE","11/17/2009","Buckhead Forest"
"LARCENY-FROM VEHICLE","04/06/2015","Adamsville"
"BURGLARY-RESIDENCE","05/02/2013","Adamsville"
"AGG ASSAULT","02/25/2009","Bankhead"
"LARCENY-FROM VEHICLE","12/31/2016","Peachtree Park"
"LARCENY-FROM VEHICLE","07/05/2012","Lakewood Heights"
"AGG ASSAULT","03/13/2013","Downtown"
"AGG ASSAULT","10/06/2012","Ashview Heights"
"AGG ASSAULT","01/11/2009","Southwest"
"BURGLARY-RESIDENCE","02/12/2013","Center Hill"
"LARCENY-NON VEHICLE","10/24/2012","Midtown"
"AGG ASSAULT","07/05/2014","Glenrose Heights"
"ROBBERY-PEDESTRIAN","09/06/2010","Harris Chiles"
"AGG ASSAULT","10/01/2012","Heritage Valley"
"BURGLARY-RESIDENCE","09/23/2014","Peoplestown"
"LARCENY-NON VEHICLE","01/08/2017","Brookwood"
"LARCENY-NON VEHICLE","09/12/2013","Mechanicsville"
"LARCENY-FROM VEHICLE","07/04/2009","East Atlanta"
"LARCENY-NON VEHICLE","11/25/2012","Collier Heights"
"LARCENY-NON VEHICLE","09/26/2014","Peoplestown"
"AGG ASSAULT","12/25/2015","West End"
"LARCENY-FROM VEHICLE","08/19/2012","Old Fourth Ward"
"BURGLARY-RESIDENCE","09/25/2011","Collier Heights"
"LARCENY-NON VEHICLE","08/09/2012","Downtown"
"LARCENY-NON VEHICLE","12/06/2014","Buckhead Village"
"AUTO THEFT","04/07/2014","Garden Hills"
"LARCENY-FROM VEHICLE","12/29/2010",""
"LARCENY-NON VEHICLE","05/27/2015","Vine City"
"LARCENY-NON VEHICLE","08/05/2011","Collier Heights"
"BURGLARY-NONRES","04/08/2013","Loring Heights"
"LARCENY-FROM VEHICLE","11/13/2011","Adair Park"
"ROBBERY-PEDESTRIAN","09/26/2010","Candler Park"
"LARCENY-NON VEHICLE","10/12/2009","Poncey-Highland"
"LARCENY-NON VEHICLE","02/04/2010","Downtown"
"LARCENY-NON VEHICLE","10/14/2011","Lenox"
"LARCENY-NON VEHICLE","10/11/2015","Oakland"
"LARCENY-NON VEHICLE","12/01/2011",""
"LARCENY-NON VEHICLE","07/31/2012","Poncey-Highland"
"LARCENY-FROM VEHICLE","07/16/2013","Lenox"
"AUTO THEFT","07/27/2014","Sweet Auburn"
"LARCENY-FROM VEHICLE","06/07/2012","English Avenue"
"AGG ASSAULT","01/01/2009","Mechanicsville"
"LARCENY-FROM VEHICLE","11/15/2009","East Atlanta"
"BURGLARY-RESIDENCE","01/27/2014","Browns Mill Park"
"LARCENY-FROM VEHICLE","02/26/2011","Campbellton Road"
"BURGLARY-RESIDENCE","03/05/2014","Harland Terrace"
"ROBBERY-RESIDENCE","04/29/2014","Joyland"
"LARCENY-NON VEHICLE","09/04/2010","Greenbriar"
"LARCENY-FROM VEHICLE","08/06/2011",""
"LARCENY-FROM VEHICLE","11/30/2014","Brookview Heights"
"LARCENY-FROM VEHICLE","01/10/2017","Mechanicsville"
"LARCENY-NON VEHICLE","06/08/2010","Edgewood"
"LARCENY-FROM VEHICLE","10/17/2009","Downtown"
"AGG ASSAULT","10/17/2009","Custer/McDonough/Guice"
"BURGLARY-RESIDENCE","05/15/2016","Peoplestown"
"LARCENY-NON VEHICLE","04/09/2013",""
"ROBBERY-PEDESTRIAN","12/27/2009","Edgewood"
"AUTO THEFT","01/19/2013","Venetian Hills"
"AUTO THEFT","06/28/2013","Edgewood"
"AUTO THEFT","05/18/2016","Lakewood"
"AUTO THEFT","04/21/2016","Mechanicsville"
"LARCENY-FROM VEHICLE","03/31/2016","Chastain Park"
"LARCENY-NON VEHICLE","10/18/2015","Midtown"
"BURGLARY-RESIDENCE","01/05/2017","Riverside"
"LARCENY-FROM VEHICLE","11/20/2016","South Tuxedo Park"
"AUTO THEFT","12/11/2014","Campbellton Road"
"BURGLARY-RESIDENCE","02/10/2009","Edgewood"
"BURGLARY-RESIDENCE","01/01/2011","Southwest"
"AUTO THEFT","05/12/2012","Downtown"
"BURGLARY-RESIDENCE","07/12/2010","Florida Heights"
"AUTO THEFT","11/16/2016","Lindbergh/Morosgo"
"AGG ASSAULT","12/05/2009","Midtown"
"AGG ASSAULT","02/10/2009","Southwest"
"BURGLARY-NONRES","07/27/2010","Mays"
"AUTO THEFT","08/15/2012","Kirkwood"
"BURGLARY-NONRES","06/10/2012","Oakland City"
"LARCENY-NON VEHICLE","06/19/2011","Wildwood (NPU-H)"
"BURGLARY-RESIDENCE","11/20/2009","Atlantic Station"
"BURGLARY-RESIDENCE","12/12/2016","Adamsville"
"LARCENY-NON VEHICLE","05/29/2009","North Buckhead"
"AUTO THEFT","07/23/2011","Downtown"
"LARCENY-FROM VEHICLE","12/04/2014","Downtown"
"LARCENY-NON VEHICLE","06/22/2009","Vine City"
"BURGLARY-RESIDENCE","02/15/2012","Capitol View"
"BURGLARY-RESIDENCE","12/11/2012","Midtown"
"AUTO THEFT","02/13/2013","Princeton Lakes"
"LARCENY-FROM VEHICLE","07/24/2016","Midtown"
"LARCENY-NON VEHICLE","10/29/2011","Adair Park"
"LARCENY-FROM VEHICLE","02/06/2017","South Atlanta"
"AUTO THEFT","03/30/2014","Wildwood (NPU-C)"
"LARCENY-FROM VEHICLE","12/24/2014","Cross Creek"
"LARCENY-FROM VEHICLE","02/16/2015","Downtown"
"AGG ASSAULT","08/22/2009","Adams Park"
"LARCENY-FROM VEHICLE","05/28/2015","Rockdale"
"BURGLARY-RESIDENCE","05/03/2013","Chosewood Park"
"LARCENY-FROM VEHICLE","05/21/2010","Downtown"
"LARCENY-FROM VEHICLE","08/31/2010","Midtown"
"BURGLARY-RESIDENCE","03/28/2016","Sweet Auburn"
"LARCENY-FROM VEHICLE","11/21/2013","Chastain Park"
"AGG ASSAULT","01/11/2011",""
"LARCENY-FROM VEHICLE","09/20/2012","Ansley Park"
"AGG ASSAULT","07/28/2011","Carey Park"
"LARCENY-NON VEHICLE","05/15/2012","Virginia Highland"
"LARCENY-FROM VEHICLE","05/10/2011","Home Park"
"ROBBERY-COMMERCIAL","11/22/2014","West End"
"LARCENY-FROM VEHICLE","12/08/2013","Downtown"
"LARCENY-NON VEHICLE","03/17/2014","Edgewood"
"ROBBERY-RESIDENCE","12/21/2009","Benteen Park"
"LARCENY-FROM VEHICLE","01/31/2013","East Lake"
"BURGLARY-RESIDENCE","06/10/2009","Springlake"
"BURGLARY-RESIDENCE","05/24/2011","Lakewood Heights"
"LARCENY-NON VEHICLE","02/15/2017","Atlantic Station"
"LARCENY-FROM VEHICLE","08/13/2013","Ben Hill"
"BURGLARY-RESIDENCE","07/28/2011","Southwest"
"LARCENY-NON VEHICLE","08/05/2013","Downtown"
"BURGLARY-RESIDENCE","09/11/2012","Swallow Circle/Baywood"
"LARCENY-FROM VEHICLE","10/11/2012",""
"BURGLARY-NONRES","09/14/2016","Midtown"
"BURGLARY-RESIDENCE","05/09/2012","South Atlanta"
"BURGLARY-NONRES","10/02/2015","Lenox"
"ROBBERY-PEDESTRIAN","03/27/2014","Campbellton Road"
"LARCENY-FROM VEHICLE","10/24/2012",""
"LARCENY-FROM VEHICLE","04/12/2016","North Buckhead"
"AUTO THEFT","10/26/2009","Harland Terrace"
"ROBBERY-PEDESTRIAN","10/20/2016",""
"BURGLARY-RESIDENCE","06/27/2012","Edgewood"
"BURGLARY-RESIDENCE","03/19/2011","Southwest"
"ROBBERY-PEDESTRIAN","02/14/2011","English Avenue"
"LARCENY-FROM VEHICLE","07/09/2011",""
"LARCENY-FROM VEHICLE","01/27/2011","West Lake"
"LARCENY-FROM VEHICLE","08/04/2012","Lenox"
"AUTO THEFT","10/10/2014","Collier Heights"
"LARCENY-FROM VEHICLE","09/25/2016","Old Fourth Ward"
"LARCENY-NON VEHICLE","10/30/2009","Glenrose Heights"
"LARCENY-FROM VEHICLE","06/22/2011","Mechanicsville"
"LARCENY-FROM VEHICLE","04/27/2009","Lake Claire"
"ROBBERY-PEDESTRIAN","06/08/2016","Downtown"
"LARCENY-FROM VEHICLE","04/17/2015","West End"
"LARCENY-NON VEHICLE","11/21/2011","Inman Park"
"ROBBERY-PEDESTRIAN","08/23/2015","Penelope Neighbors"
"AGG ASSAULT","11/07/2009",""
"LARCENY-NON VEHICLE","04/17/2010","West End"
"ROBBERY-PEDESTRIAN","10/05/2015","Center Hill"
"BURGLARY-RESIDENCE","06/09/2011","Capitol View Manor"
"LARCENY-NON VEHICLE","06/23/2009","Harris Chiles"
"LARCENY-NON VEHICLE","08/15/2016","Edgewood"
"AGG ASSAULT","04/05/2016","Summerhill"
"BURGLARY-RESIDENCE","12/02/2014","Glenrose Heights"
"AUTO THEFT","01/04/2015","Hammond Park"
"LARCENY-NON VEHICLE","10/03/2013","Midtown"
"AGG ASSAULT","12/29/2011","Pittsburgh"
"BURGLARY-RESIDENCE","07/07/2009","East Atlanta"
"LARCENY-FROM VEHICLE","06/08/2014","Virginia Highland"
"LARCENY-NON VEHICLE","01/30/2012","Lakewood Heights"
"BURGLARY-RESIDENCE","01/19/2010","Lindridge/Martin Manor"
"LARCENY-FROM VEHICLE","11/30/2012","Downtown"
"LARCENY-FROM VEHICLE","08/19/2009","Grant Park"
"LARCENY-FROM VEHICLE","04/06/2016","Woodland Hills"
"ROBBERY-PEDESTRIAN","09/07/2015","Benteen Park"
"AUTO THEFT","01/29/2013","Morningside/Lenox Park"
"LARCENY-NON VEHICLE","11/19/2010","Ashley Courts"
"ROBBERY-PEDESTRIAN","01/18/2009","West Highlands"
"LARCENY-FROM VEHICLE","01/08/2017","Mechanicsville"
"LARCENY-NON VEHICLE","07/09/2010","The Villages at Carver"
"BURGLARY-RESIDENCE","12/01/2015","Lindbergh/Morosgo"
"LARCENY-FROM VEHICLE","06/16/2010","Peoplestown"
"LARCENY-FROM VEHICLE","09/25/2016",""
"LARCENY-NON VEHICLE","12/18/2015","Lindbergh/Morosgo"
"AUTO THEFT","01/23/2010","The Villages at Carver"
"AUTO THEFT","05/11/2012","Southwest"
"LARCENY-FROM VEHICLE","12/20/2016","Downtown"
"LARCENY-NON VEHICLE","12/06/2012","Berkeley Park"
"BURGLARY-NONRES","09/28/2012","Reynoldstown"
"AGG ASSAULT","06/19/2015","Pittsburgh"
"AUTO THEFT","07/08/2016","Lakewood Heights"
"LARCENY-FROM VEHICLE","03/23/2012","Midtown"
"LARCENY-FROM VEHICLE","10/21/2009","Downtown"
"LARCENY-FROM VEHICLE","05/31/2011","Midtown"
"AUTO THEFT","10/05/2012","Mechanicsville"
"BURGLARY-RESIDENCE","07/11/2013","Mt. Paran/Northside"
"LARCENY-FROM VEHICLE","09/19/2016","Old Fourth Ward"
"LARCENY-NON VEHICLE","11/16/2011","Peachtree Park"
"HOMICIDE","05/08/2011","Downtown"
"AGG ASSAULT","03/16/2016","Pittsburgh"
"BURGLARY-RESIDENCE","09/22/2012","Old Fourth Ward"
"AGG ASSAULT","05/22/2010","Vine City"
"ROBBERY-PEDESTRIAN","03/15/2014","Downtown"
"LARCENY-FROM VEHICLE","03/19/2014","Center Hill"
"LARCENY-NON VEHICLE","02/05/2010","Hammond Park"
"LARCENY-NON VEHICLE","06/01/2012","Garden Hills"
"LARCENY-FROM VEHICLE","07/10/2013","Westhaven"
"LARCENY-NON VEHICLE","10/09/2012","Lindbergh/Morosgo"
